 ,,,,,,?,,,,?,?,?
 ,,,,,,,,,,,,
,,,,,,,,,,,,
 ,,,,,,,,,,????????,"4,026,194 ",
 ,Publication,Publisher URL,Clipping Date,Release Date,Color,Circulation,Publication Category,Publishing Office,Size,unit,AVE,Contents
NO.,???,,????,???,???,????,???????,???,???,??,???,?????
1,??????????,,2013-02-01,2013-02-01,???,"801,966 ",?????,??????????,5  1/2   ,cm1?,"134,101 ",
2,????????,,2013-02-02,2013-02-02,?  ?,"6,011,693 ",???,?????????,3        ,cm1?,"252,000 ",
3,????????,,2013-02-02,2013-02-02,?  ?,"241,286 ",???,??????????????,3        ,cm1?,"32,700 ",
4,????????,,2013-02-02,2013-02-02,?  ?,"105,224 ",???,?????????????,3        ,cm1?,"30,300 ",
5,?????????,,2013-02-02,2013-02-02,?  ?,"159,540 ",???,?????????????,3        ,cm1?,"30,000 ",
6,????????,,2013-02-02,2013-02-02,?  ?,"2,510,791 ",???,?????????,3        ,cm1?,"159,000 ",
7,????????,,2013-02-02,2013-02-02,?  ?,"208,688 ",???,??????,6  1/2   ,cm1?,"65,000 ",
8,??????????,,2013-02-04,2013-02-04,???,"801,966 ",?????,??????????,5        ,cm1?,"121,910 ",
9,??????????,,2013-02-04,2013-02-04,?  ?,"80,000 ",??????????,????????,8  1/2   ,cm1?,"22,729 ",
10,??????????,,2013-02-05,2013-02-05,?  ?,"2,086,070 ",???,?????????,20  1/2   ,cm1?,"1,488,300 ",
11,????????,,2013-02-06,2013-02-06,?  ?,"208,688 ",???,??????,7        ,cm1?,"70,000 ",
12,??????????,,2013-02-06,2013-02-06,?  ?,"78,308 ",???,??????,10  1/2   ,cm1?,"63,000 ",
13,???????/???,,2013-02-15,2013-02-06,???,"115,499 ",??????,????????,  1/48  ,page,"18,519 ",
14,???????/????,,2013-02-15,2013-02-06,???,"112,759 ",??????,????????,  1/48  ,page,"23,148 ",
15,??????????,,2013-02-09,2013-02-09,?  ?,"801,966 ",?????,??????????,6        ,cm1?,"138,000 ",
16,????????,,2013-02-11,2013-02-11,?  ?,"6,011,693 ",???,?????????,7        ,cm1?,"588,000 ",
17,??????????,,2013-02-13,2013-02-13,???,"801,966 ",?????,??????????,5  1/2   ,cm1?,"134,101 ",
18,???????/???,,2013-02-22,2013-02-13,???,"115,499 ",??????,????????,  1/48  ,page,"18,519 ",
19,???????/????,,2013-02-22,2013-02-13,???,"112,759 ",??????,????????,  1/48  ,page,"23,148 ",
20,????????,,2013-02-14,2013-02-14,?  ?,"6,011,693 ",???,?????????,6        ,cm1?,"504,000 ",
21,??????????,,2013-02-14,2013-02-14,???,"801,966 ",?????,??????????,4  1/2   ,cm1?,"109,719 ",
